lon,lat,sst_obs,reliability,sd,source,type
-61.24,12.09,25.1,1,1.5,Alkenone,ann
-7.07,36.38,15.7,2,1.5,Alkenone,ann
27.29,34.81,11.6,1,1.5,Alkenone,ann
4.02,38.99,11.6,1,1.5,Alkenone,ann
13.19,37.34,12.2,2,1.5,Alkenone,ann
72.34,15.32,25.2,1,1.5,Alkenone,ann
50.52,14.44,24.6,1,1.5,Alkenone,ann
95.03,10.13,25.9,1,1.5,Alkenone,ann
93.08,14.31,26.9,1,1.5,Alkenone,ann
89.51,18.28,26.3,1,1.5,Alkenone,ann
90.29,17.24,26.1,1,1.5,Alkenone,ann
76.43,7.3,25.8,1,1.5,Alkenone,ann
75.14,10.28,25.7,1,1.5,Alkenone,ann
74.32,11.3,25.8,1,1.5,Alkenone,ann
60.41,19.13,23,1,1.5,Alkenone,ann
59.34,20.42,22.5,1,1.5,Alkenone,ann
38.67,-17.88,25.2,1,1.5,Alkenone,ann
37.02,-19.35,25.4,1,1.5,Alkenone,ann
36.2,-20.24,24.9,1,1.5,Alkenone,ann
46.04,-0.02,25.5,1,1.5,Alkenone,ann
50.44,3.19,25.6,1,1.5,Alkenone,ann
73.88,5.07,25.5,1,1.5,Alkenone,ann
-32.03,37.09,15.3,1,1.5,Alkenone,ann
-9.86,40.58,12.4,1,1.5,Alkenone,ann
-10.17,37.8,14,1,1.5,Alkenone,ann
-2.62,36.14,11.3,1,1.5,Alkenone,ann
31.25,-33.17,21.6,1,1.5,Alkenone,ann
-158.19,21.36,23.2,2,1.5,Alkenone,ann
-158.17,21.33,23.7,2,1.5,Alkenone,ann
-178.49,-42.38,10.6,1,1.5,Alkenone,ann
115.88,18.75,22.4,1,1.5,Alkenone,ann
64.22,23.59,23.6,1,1.5,Alkenone,ann
90.03,19.97,26.4,1,1.5,Alkenone,ann
-10.18,37.77,13.3,1,1.5,Alkenone,ann
-32.05,40.51,13.7,1,1.5,Alkenone,ann
-30.41,43.35,10,1,1.5,Alkenone,ann
-21.94,52.57,9.9,1,1.5,Alkenone,ann
-16.65,25.02,17.1,1,1.5,Alkenone,ann
-25.08,48.4,4.9,1,1.5,Alkenone,ann
-78.1,-17.23,17,1,1.5,Alkenone,ann
51.93,10.7,26,1,1.5,Alkenone,ann
53.25,13.7,24.4,1,1.5,Alkenone,ann
179.5,-45.08,6.5,1,1.5,Alkenone,ann
179.5,-44.5,10.7,1,1.5,Alkenone,ann
-120.43,33.35,12.8,1,1.5,Alkenone,ann
178.97,-42.85,12,2,1.5,Alkenone,ann
-138.96,0.95,26.1,1,1.5,Alkenone,ann
-131.96,41.54,7.6,1,1.5,Alkenone,ann
-125.75,42.12,5.4,1,1.5,Alkenone,ann
-127.68,42.26,6.8,1,1.5,Alkenone,ann
-126.91,42.14,7.9,1,1.5,Alkenone,ann
-129,41.8,6,1,1.5,Alkenone,ann
-126.26,42.75,6.7,1,1.5,Alkenone,ann
-132.67,41.33,6.4,1,1.5,Alkenone,ann
-130.62,41.58,6.9,1,1.5,Alkenone,ann
159.36,0.32,26.2,1,1.5,Mg/Ca,ann
-20.162,19,15.4,1,1.5,Mg/Ca,ann
-71.83,14.92,23.1,2,1.5,Mg/Ca,ann
-21.08,5.37,22.7,2,1.5,Mg/Ca,ann
157,-2.23,26.7,2,1.5,Mg/Ca,ann
-12.428,-1.67,22.5,2,1.5,Mg/Ca,ann
-10.75,-5.78,24.1,2,1.5,Mg/Ca,ann
-18.009,18.07,16.9,2,1.5,Mg/Ca,ann
-26.543,44.36,13.3,2,1.5,Mg/Ca,ann
-18.987,27.01,14.6,2,1.5,Mg/Ca,ann
-32.287,37.11,15.4,2,1.5,Mg/Ca,ann
-31.842,37.58,15,2,1.5,Mg/Ca,ann
-2.621,36.14,14.3,2,1.5,Mg/Ca,ann
174.93,-45.53,8.3,2,1.5,Mg/Ca,ann
121.3,8.8,26.7,2,1.5,Mg/Ca,ann
117.9,-4.69,25.7,1,1.5,Mg/Ca,ann
125.82,6.3,27,1,1.5,Mg/Ca,ann
-10.171,37.8,15.7,2,1.5,Mg/Ca,ann
-23.901,59.79,9.7,2,1.5,Mg/Ca,ann
-64.93,10.7,23.9,1,1.5,Mg/Ca,ann
79.86666667,-43.52,7.9,2,1.5,Mg/Ca,ann
76,3,27.6,2,1.5,Mg/Ca,ann
-89.511,2.49,23.3,2,1.5,Mg/Ca,ann
-90.95,2.26,23.3,1,1.5,Mg/Ca,ann
-93.505,0.47,21.1,2,1.5,Mg/Ca,ann
-92.239,0.31,22.3,2,1.5,Mg/Ca,ann
-79.59,11.66,23.2,2,1.5,Mg/Ca,ann
-89.683,-1.22,21.3,2,1.5,Mg/Ca,ann
-114.703,-54.907,5.68,1,1.5,Diatoms,jfm
-115.06,-56.06,5.53,1,1.5,Diatoms,jfm
-115.243,-56.903,3.36,1,1.5,Diatoms,jfm
-115.208,-57.828,4.2,1,1.5,Diatoms,jfm
-160.093,-57.015,3.42,1,1.5,Diatoms,jfm
-99.758,-59.017,4.74,1,1.5,Diatoms,jfm
-101.317,-59.967,4.79,1,1.5,Diatoms,jfm
-108.8,-58.683,3.98,1,1.5,Diatoms,jfm
-135.117,-63.083,0.88,1,1.5,Diatoms,jfm
-109.09,-62.16,1.57,1,1.5,Diatoms,jfm
-127.03,-60.22,2.68,1,1.5,Diatoms,jfm
116.992,-52.94,3.86,1,1.5,Diatoms,jfm
125.982,-45.012,4.95,1,1.5,Diatoms,jfm
126.13,-48.03,4.28,1,1.5,Diatoms,jfm
126.017,-48.862,3.54,1,1.5,Diatoms,jfm
106.5166667,-44.88333333,5.57,1,1.5,Diatoms,jfm
111.333,-53.495,2.85,1,1.5,Diatoms,jfm
114.257,-53.437,1.51,1,1.5,Diatoms,jfm
114.09,-52.483,1.68,1,1.5,Diatoms,jfm
114.367,-45.057,5.23,1,1.5,Diatoms,jfm
79.89833333,-38.54166667,16.25,3,1.5,Diatoms,jfm
109.988,-51.007,1.64,1,1.5,Diatoms,jfm
110.047,-53.037,1.37,1,1.5,Diatoms,jfm
110.018,-55.07,1.06,1,1.5,Diatoms,jfm
104.945,-55.945,1.66,1,1.5,Diatoms,jfm
20.472,-52.018,1.36,1,1.5,Diatoms,jfm
-19.727,-59.23,0.53,3,1.5,Diatoms,jfm
119.51,-64.67,0.39,1,1.5,Diatoms,jfm
101.148,-63.652,0.39,1,1.5,Diatoms,jfm
95.885,-62.492,0.4,1,1.5,Diatoms,jfm
42.88,-51.91,0.86,1,1.5,Diatoms,jfm
53.28,-44.98,7.72,2,1.5,Diatoms,jfm
67.72,-51.06,2.13,1,1.5,Diatoms,jfm
-0.35,-54.09,0.62,2,1.5,Diatoms,jfm
-16.65,-58.85,0.67,2,1.5,Diatoms,jfm
51.32,-43.49,8.2,1,1.5,Diatoms,jfm
61.66,-48.89,2.98,1,1.5,Diatoms,jfm
73.26,-55,0.93,1,1.5,Diatoms,jfm
73.84,-54.91,1.12,1,1.5,Diatoms,jfm
90.11,-46.07,7.19,2,1.5,Diatoms,jfm
96.46666667,-46.01666667,5.68,1,1.5,Diatoms,jfm
109.85,-52.9,2.29,2,1.5,Diatoms,jfm
144.79,-54.19,3.5,1,1.5,Diatoms,jfm
145.3,-56.38,2.33,1,1.5,Diatoms,jfm
15.3648,-47.5428,2.67,2,1.5,Diatoms,jfm
9.9777,-55.373,0.1,1,1.5,Diatoms,jfm
3.3077,-54.9105,-0.1,3,1.5,Diatoms,jfm
3.8562,-53.6308,0,2,1.5,Diatoms,jfm
5.0995,-53.664,-0.5,2,1.5,Diatoms,jfm
5.7225,-50.1575,1.4,2,1.5,Diatoms,jfm
6.7147,-48.9,1.6,2,1.5,Diatoms,jfm
4.806,-51.8315,0.8,2,1.5,Diatoms,jfm
4.476,-52.593,0.5,2,1.5,Diatoms,jfm
-7.505,-50.9517,0.4,2,1.5,Diatoms,jfm
-11.04,-48.2333,2,2,1.5,Diatoms,jfm
-12.7,-49.0133,1.7,2,1.5,Diatoms,jfm
-14.08,-50.4,1.2,2,1.5,Diatoms,jfm
-15.3,-51.704,1.1,2,1.5,Diatoms,jfm
-18.61,-55.19,1.4,2,1.5,Diatoms,jfm
-22.71,-54.9117,0.4,2,1.5,Diatoms,jfm
11.7383,-43.2202,4.8,2,1.5,Diatoms,jfm
5.3302,-53.1887,0.2,2,1.5,Diatoms,jfm
5.133,-53.1783,0.4,2,1.5,Diatoms,jfm
-4.985666667,-53.073,0,2,1.5,Diatoms,jfm
-23.9508,-54.6355,0.5,2,1.5,Diatoms,jfm
-22.2248,-55.9687,0.6,2,1.5,Diatoms,jfm
-22.3242,-56.8397,0.8,3,1.5,Diatoms,jfm
-33.0365,-58.7203,0.2,2,1.5,Diatoms,jfm
-35.6093,-59.0535,0,2,1.5,Diatoms,jfm
-42.6833,-59.7883,0.5,2,1.5,Diatoms,jfm
5.97,-44.955,3.2,3,1.5,Diatoms,jfm
-4.055,-43.1733,4.1,3,1.5,Diatoms,jfm
-14.2283,-44.1533,4.5,3,1.5,Diatoms,jfm
-15.3333,-46.5117,2.7,2,1.5,Diatoms,jfm
-23.24,-50.25,1.2,2,1.5,Diatoms,jfm
-45.2917,-53.545,0.8,2,1.5,Diatoms,jfm
28.5417,-41.8583,10.9,1,1.5,Diatoms,jfm
34.7867,-44.56,4.1,2,1.5,Diatoms,jfm
35.8983,-46.1417,4.3,1,1.5,Diatoms,jfm
6.2567,-46.935,3.9,2,1.5,Diatoms,jfm
37.6283,-58.9867,0.9,2,1.5,Diatoms,jfm
40.8017,-53.2317,0.3,3,1.5,Diatoms,jfm
41.6517,-51.8783,0.1,3,1.5,Diatoms,jfm
40.1333,-50.685,0.6,2,1.5,Diatoms,jfm
-116.047,-61.243,1.7,2,1.5,Diatoms,jfm
42.35,-42.88333333,9.65,2,1.5,Diatoms,jfm
65.467,-55.33,0.91,2,1.5,Diatoms,jfm
123.1,-47.77,4.75,1,1.5,Diatoms,jfm
71.533,-37.8,16.25,2,1.5,Diatoms,jfm
-16.45,-53.05,0.86,2,1.5,Diatoms,jfm
-9.87,-50.87,0.73,2,1.5,Diatoms,jfm
34.18,-56.57,1.82,2,1.5,Diatoms,jfm
53.05,-54.48,0.75,2,1.5,Diatoms,jfm
59.58,-50.47,1.45,1,1.5,Diatoms,jfm
61.2,-50.32,2.21,2,1.5,Diatoms,jfm
-23.7,-47.9,2.14,2,1.5,Diatoms,jfm
-10.1,-37.27,17.32,3,1.5,Diatoms,jfm
11.67,-42.52,10.02,2,1.5,Diatoms,jfm
7.625,-46.6,4.08,1,1.5,Diatoms,jfm
-0.355,-53.18,0.93,2,1.5,Diatoms,jfm
-4.93,-53.88,0.78,1,1.5,Diatoms,jfm
-8.217,-53.81,0.83,2,1.5,Diatoms,jfm
-0.125,-52.63,1.91,2,1.5,Diatoms,jfm
4.52,-51.98,2.32,2,1.5,Diatoms,jfm
51.183,-38,14,2,1.5,Diatoms,jfm
59.3,-38.75,13.59,1,1.5,Diatoms,jfm
54.47,-52.2,1.9,1,1.5,Diatoms,jfm
160.23,-56.67,2.21,1,1.5,Diatoms,jfm
5.11,-53.17,1.17,1,1.5,Diatoms,jfm
-17.1,-57.57,0.89,2,1.5,Diatoms,jfm
27.6,-43.85,7.71,2,1.5,Diatoms,jfm
30.017,-49.57,4.2,2,1.5,Diatoms,jfm
27.383,-49.1,3,1,1.5,Diatoms,jfm
25.65,-45.73,6.91,1,1.5,Diatoms,jfm
25.733,-43.7,10.07,2,1.5,Diatoms,jfm
15.3648,-47.5428,6.18,1,1.5,Radiolarians,jfm
9.9777,-55.373,0.51,2,1.5,Radiolarians,jfm
3.8562,-53.6308,0.44,2,1.5,Radiolarians,jfm
6.7147,-48.9,5.03,2,1.5,Radiolarians,jfm
4.476,-52.593,1.47,3,1.5,Radiolarians,jfm
-12.7,-49.0133,4.81,2,1.5,Radiolarians,jfm
-14.08,-50.4,3.97,3,1.5,Radiolarians,jfm
-22.71,-54.9117,0.85,2,1.5,Radiolarians,jfm
11.7383,-43.2202,11.35,1,1.5,Radiolarians,jfm
5.3302,-53.1887,1.36,3,1.5,Radiolarians,jfm
-3.2288,-50.7422,3.6,2,1.5,Radiolarians,jfm
-57.9473,-45.1002,12.1,1,1.5,Radiolarians,jfm
-31.3485,-51.5305,3.1,2,1.5,Radiolarians,jfm
5.97,-44.955,9.32,2,1.5,Radiolarians,jfm
-4.055,-43.1733,11.42,1,1.5,Radiolarians,jfm
-6.02,-42.8833,11.42,2,1.5,Radiolarians,jfm
-14.2283,-44.1533,11.11,1,1.5,Radiolarians,jfm
6.2567,-46.935,6.9,2,1.5,Radiolarians,jfm
9.8885,-40.9438,15.3,2,1.5,Radiolarians,jfm
-116.12,-62.03,1.5,1,1.5,xavier,jfm
-116.05,-61.24,1.9,1,1.5,xavier,jfm
-114.89,-59.21,1.9,1,1.5,xavier,jfm
-107.81,-52.81,4.3,1,1.5,xavier,jfm
-115.13,-56.15,2.6,1,1.5,xavier,jfm
-114.79,-55.16,2.8,1,1.5,xavier,jfm
-125.43,-54.22,5.1,1,1.5,xavier,jfm
-139.46,-61.01,0.5,1,1.5,xavier,jfm
-151.22,-57.56,1,1,1.5,xavier,jfm
-151.61,-57.2,1,1,1.5,xavier,jfm
-156.14,-55.53,3,1,1.5,xavier,jfm
-158.36,-59.04,1.7,1,1.5,xavier,jfm
-160.12,-61.94,0.7,1,1.5,xavier,jfm
-169.07,-63.69,1,1,1.5,xavier,jfm
-169.55,-60.87,1.3,1,1.5,xavier,jfm
-172.7,-58.55,2.2,1,1.5,xavier,jfm
-171.36,-59.7,1.6,1,1.5,xavier,jfm
45.21,-49,2.65,1,1.5,xavier,jfm
45.01,-55.01,1.81,1,1.5,xavier,jfm
4.48,-52.59,0.5,1,1.5,xavier,jfm
5.1,-53.66,-0.5,1,1.5,xavier,jfm
3.31,-54.91,-0.1,1,1.5,xavier,jfm
40.8,-53.23,0.3,1,1.5,xavier,jfm
-4.99,-53.07,0,1,1.5,xavier,jfm
68.39,-50.37,2.6,1,1.5,xavier,jfm
